epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,15449.7,0.34581,0.25638,0.85433,0.95742,0.97647,0.98514,0.94703,0.29139,0.15584,0.83162,0.0050062,0.0050062,0.0050062
109,15583.5,0.34568,0.25554,0.85551,0.95553,0.97647,0.98458,0.94557,0.29196,0.1557,0.83191,0.004936,0.004936,0.004936
110,15719.6,0.34342,0.25722,0.85798,0.97014,0.97369,0.98465,0.94745,0.29157,0.15497,0.83168,0.00486594,0.00486594,0.00486594
111,15853.7,0.34236,0.25619,0.85288,0.97176,0.97453,0.9848,0.94639,0.29011,0.1535,0.83118,0.00479604,0.00479604,0.00479604
112,15989.9,0.3418,0.25639,0.85286,0.97611,0.96821,0.98575,0.94876,0.29005,0.15472,0.83144,0.00472632,0.00472632,0.00472632
113,16125.1,0.33787,0.25277,0.853,0.97339,0.97133,0.98524,0.94797,0.28946,0.15356,0.83171,0.00465678,0.00465678,0.00465678
114,16261.7,0.34124,0.25214,0.85381,0.96599,0.97437,0.98502,0.94856,0.28937,0.15422,0.83197,0.00458746,0.00458746,0.00458746
115,16395.4,0.33983,0.25574,0.85161,0.9663,0.97364,0.98472,0.94734,0.28985,0.15431,0.83175,0.00451836,0.00451836,0.00451836
116,16529.5,0.3401,0.25468,0.85296,0.97033,0.96946,0.98456,0.94756,0.28983,0.15494,0.83168,0.0044495,0.0044495,0.0044495
117,16665.2,0.34024,0.25435,0.85285,0.96245,0.97546,0.984,0.94674,0.29016,0.15447,0.83164,0.0043809,0.0043809,0.0043809
118,16813.5,0.33743,0.25098,0.85135,0.95935,0.97668,0.9852,0.94831,0.29,0.15413,0.83144,0.00431257,0.00431257,0.00431257
119,16949.9,0.33575,0.25385,0.85199,0.96127,0.97309,0.98566,0.94975,0.28938,0.15392,0.83114,0.00424454,0.00424454,0.00424454
120,17107.2,0.33525,0.25319,0.85236,0.95929,0.97442,0.98588,0.94981,0.28943,0.15369,0.8311,0.00417682,0.00417682,0.00417682
121,17284.7,0.3346,0.24676,0.85073,0.96045,0.97561,0.98578,0.95049,0.28932,0.15306,0.83074,0.00410942,0.00410942,0.00410942
